id;type;source;label;remarks;geom;fk;creator;created;last_editor;last_edited;area;perimeter;length;latitude;longitude
694;City in foreign country;Hanna;Cotonou (Benin);estimate according to googlemaps;0101000020E610000004A0773923680340E9CDCB5467751940;0;7;2015-06-30 12:08:01.869454+02;;;0;0;0;6.36465198987887;2.42584843536679
695;City abroad;Hanna;Abengourou (Côte d'Ivoire);estimate according to googlemaps;0101000020E6100000F46088C6FCFC0BC0B952462735E51A40;0;7;2015-07-28 14:18:05.849985+02;;;0;0;0;6.72383557669371;-3.49852900603957
697;Quartier of Ouagadougou;Hanna;1200 logements (Ouagadougou);estimate according to googlemaps;0101000020E610000021BD108DD2F5F7BF25D2249698BB2840;0;7;2015-07-28 15:22:27.308206+02;;;0;0;0;12.3663985176036;-1.49751525024096
698;cities and towns outside Greater Ouagadougou;Hanna;Bagré;estimate according to googlemaps;0101000020E6100000CCB30CD1C6B5E0BF0F01F7CDD3FE2640;0;7;2015-07-28 16:03:43.112511+02;;;0;0;0;11.4977096904772;-0.522189529705082
699;cities and towns outside Greater Ouagadougou;Hanna;Balolé;estimate according to googlemaps;0101000020E6100000376D4E0AD23AFCBFFA5E8CFA259F2840;0;7;2015-07-28 16:16:51.72993+02;;;0;0;0;12.3108366295196;-1.76436046625061
700;cities and towns outside Greater Ouagadougou;Hanna;Bazoulé;estimate according to googlemaps;0101000020E61000009DCDF3301458FBBFEAFCD44159A32840;0;7;2015-07-28 16:36:02.326553+02;;;0;0;0;12.3190403530593;-1.70900363084807
701;cities and towns outside Greater Ouagadougou;Hanna;Bassawarga;estimate according to googlemaps;0101000020E610000003BF108DCF22FBBFCD2DCFFC836F2740;0;7;2015-07-28 16:38:30.643194+02;;;0;0;0;11.7178038599876;-1.69599871734312
696;Place in Ouagagadougou;Hanna;Airport Ouagadougou;estimate according to googlemaps;0101000020E61000009E0293111542F8BF1E4474B993B42840;0;7;2015-07-28 15:04:35.132716+02;7;2015-07-29 11:05:43.375375+02;0;0;0;12.3526895479609;-1.51613337387986
702;Place in Ouagagadougou;Hanna;Gare Tampouy;estimate according to googlemaps;0101000020E6100000A5164D4C5C06F9BF1D966F90C1C62840;0;7;2015-07-29 15:55:07.034821+02;;;0;0;0;12.3881955276693;-1.56405286603096
703;cities and towns outside Greater Ouagadougou;Hanna;Tonsgho;estimate according to googlemaps;0101000020E61000008DC0108D7206FCBF85B78F99CE792840;0;7;2015-07-30 11:11:33.225619+02;;;0;0;0;12.2379043567596;-1.75157408813178
704;cities and towns outside Greater Ouagadougou;Hanna;Vipalgo;Estimation according to google search;0101000020E610000054C0108DE925FCBF82CA3448DC382840;0;7;2015-07-30 11:17:52.516425+02;;;0;0;0;12.1110556187098;-1.75925593475042
705;Place in Ouagagadougou;Hanna;Faso Coton;Estimation according to google search;0101000020E6100000753E130988A8F8BF6FD98AD4D9B92840;0;7;2015-07-30 11:33:12.71485+02;;;0;0;0;12.3629900378698;-1.54114535851468
707;cities and towns outside Greater Ouagadougou;Hanna;Mouni;estimate according to googlemaps;0101000020E6100000EDC0102D1397FDBF7EF17CF285A12940;0;7;2015-07-30 15:47:35.354414+02;;;0;0;0;12.81547506118;-1.84938352206887
708;cities and towns outside Greater Ouagadougou;Hanna;Nagreongo;estimate according to googlemaps;0101000020E6100000484AA364073EF3BFB4609843CCF22840;0;7;2015-07-30 15:53:35.584459+02;;;0;0;0;12.4742146609791;-1.20264376937543
709;Place in Ouagagadougou;Hanna;Gare de l'Est (Ouagadougou);estimate according to googlemaps;0101000020E6100000A2CF104D48A2F7BF146E9AEDB6C82840;0;7;2015-07-30 16:05:08.684221+02;;;0;0;0;12.3920206309331;-1.47711973289277
710;cities and towns outside Greater Ouagadougou;Hanna;Fara;estimate according to googlemaps;0101000020E6100000F35F88C6141806C04F5A6CCD8A092740;0;7;2015-07-30 16:06:21.741193+02;;;0;0;0;11.5186371035353;-2.76175837615664
