id;fk;creator;created;last_editor;last_edited;area;perimeter;length;latitude;longitude;geom;fclass_osm;label;source;type;remarks
40;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.937851;9.8354974;0101000020E61000003BC9B150C6AB2340661536035CC01740;village;Abebung;OSM;Settlement;
41;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.7582297;9.8877494;0101000020E61000005616E01687C623406F6CD15D6D081740;village;Abeshom;OSM;Settlement;
42;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.7749461;10.6221749;0101000020E6100000BDC85FB58D3E2540A7A66E788B191B40;village;Abonkwa;OSM;Settlement;
43;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.8973498;10.747426;0101000020E6100000365CE49EAE7E2540DF49B0DDE2961B40;village;Abonse;OSM;Settlement;
44;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.9768773;10.7385243;0101000020E6100000439A67DB1F7A2540B2D1DE8552E81B40;village;Abonshie;OSM;Settlement;
45;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.3002422;10.364432;0101000020E6100000543BC3D496BA24403084F7B072331940;village;Abu;OSM;Settlement;
46;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.5774169;10.2391367;0101000020E6100000F68B2320707A24407DA13660464F1A40;village;Abar;OSM;Settlement;
47;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.9901056;9.9445675;0101000020E61000009DBAF2599EE3234088580E3EDEF51740;village;Acha Tugi;OSM;Settlement;
48;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.3952138;10.1798521;0101000020E6100000DD3B0F93155C244027B627EDB2941940;village;Achaf;OSM;Settlement;
49;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.9991176;9.7928552;0101000020E610000055EDE41DF19523409A6E23AF18FF1740;village;Achang;OSM;Settlement;
50;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.7293439;10.8849664;0101000020E6100000221EE4501AC52540FC259820D9EA1A40;village;Adere;OSM;Settlement;
51;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.753141;10.7352011;0101000020E610000069F750476C782540611BF16437031B40;village;Adu;OSM;Settlement;
52;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.3351421;10.3590825;0101000020E6100000C02154A9D9B72440110D9C7D2F571940;village;Aduk;OSM;Settlement;
53;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.3167206;10.4255939;0101000020E610000013C19371E7D92440C4E0AB6752441940;village;Ajung;OSM;Settlement;
54;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.715763;10.5867978;0101000020E6100000C0BAE0C2702C254055BFD2F9F0DC1A40;village;Akonka;OSM;Settlement;
55;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.0662336;10.1995651;0101000020E61000008FD893652D662440DC95A7BDD2431840;village;Akossia;OSM;Settlement;
56;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.8046816;9.8472869;0101000020E610000090A8AB96CFB1234096C50E74FE371740;village;Akulabei;OSM;Settlement;
57;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.887687;10.156404;0101000020E61000005BED612F14502440605628D2FD8C1740;village;Akum;OSM;Settlement;
58;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.7067898;10.7915863;0101000020E61000005DECACCC4A952540E59590B4C0D31A40;village;Akwaja;OSM;Settlement;
59;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.8637601;10.6932923;0101000020E610000022235635F7622540D85B14877D741B40;village;Akwapiang;OSM;Settlement;
60;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.8857081;10.795821;0101000020E6100000A6F0A0D9759725408E356D10F78A1B40;village;Akwomse;OSM;Settlement;
61;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.8786674;10.1483789;0101000020E61000003AD5B551F84B2440D33E0C63C1831740;village;Alatening;OSM;Settlement;
62;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.7962676;9.8865826;0101000020E6100000C2679027EEC52340287513C6602F1740;village;Ambo;OSM;Settlement;
63;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.6737369;10.6572697;0101000020E6100000B04D74A785502540066FFE15E8B11A40;village;Ande;OSM;Settlement;
64;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.97822;9.833983;0101000020E610000006D7DCD1FFAA2340282CF180B2E91740;village;Andek;OSM;Settlement;
65;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.9906918;9.8297292;0101000020E61000008E120544D2A8234057A945E977F61740;village;Angai;OSM;Settlement;
66;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.7977933;9.8116925;0101000020E610000024D1CB28969F234026DF11BAF0301740;village;Angie;OSM;Settlement;
67;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.9009619;9.9020009;0101000020E6100000D6ECDC0FD3CD2340A2C49DC1959A1740;village;Anong;OSM;Settlement;
68;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.9276057;9.8327917;0101000020E6100000AFC277AC63AA23402F55C444DEB51740;village;Angong;OSM;Settlement;
69;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.9090312;9.7826506;0101000020E6100000BA635694B7902340AF2C2C13D9A21740;village;Angwi;OSM;Settlement;
70;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.7231869;10.7807013;0101000020E6100000AEE3AE14B88F25401E95511B8BE41A40;village;Anmba;OSM;Settlement;
71;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.7770432;9.9643547;0101000020E6100000DF7C34E6BFED234016516E36B11B1740;village;Ashong;OSM;Settlement;
72;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.7362251;10.7948647;0101000020E61000005D7D8681F896254032FA1BFEE4F11A40;village;Assa;OSM;Settlement;
73;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.454984;10.186546;0101000020E6100000346612F5825F244024D06053E7D11940;village;Awi;OSM;Settlement;
74;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.8401153;10.2528331;0101000020E61000004EB10F5773812440177A692F475C1740;village;Awing;OSM;Settlement;
75;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.8207277;9.9084252;0101000020E61000007AB9991B1DD1234069AF99D76C481740;village;Awun;OSM;Settlement;
76;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.9047338;9.7967818;0101000020E61000009518BAC8F3972340DD578A89729E1740;village;Azem;OSM;Settlement;
77;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.0584797;10.4907891;0101000020E610000070777BB548FB244069EB3B1AE23B1840;village;Baba I;OSM;Settlement;
78;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.8656129;10.1080187;0101000020E61000007FB61F3A4E3724409EFB613A63761740;village;Baba;OSM;Settlement;
79;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.1192783;10.2600228;0101000020E6100000BF6D5CB5218524406B7D3617247A1840;village;Babanki (big);OSM;Settlement;
80;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.7915571;10.5685614;0101000020E61000003489D57A1A2325409AAAC5F18D2A1B40;village;Babo-Jatto;OSM;Settlement;
81;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.067073;10.445864;0101000020E610000070ED444948E4244047C7D5C8AE441840;village;Babungo;OSM;Settlement;
82;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.903026;10.383653;0101000020E61000004B06802A6EC4244033C005D9B29C1740;village;Bafanji;OSM;Settlement;
83;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.9736063;10.1831113;0101000020E61000005C0EAAC3C05D2440E0B7C60CF9E41740;village;Bafreng (Bamenda);OSM;Settlement;
84;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.0581954;10.2473019;0101000020E6100000327AC95A9E7E24404D1C2F93973B1840;village;Bafunge;OSM;Settlement;
85;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.6509332;11.0428368;0101000020E61000006E217EB4EE152640C385973B8E9A1A40;village;Bagam;OSM;Settlement;
86;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.8917486;9.7764019;0101000020E6100000C21AC28C848D2340E003858B26911740;village;Bajem;OSM;Settlement;
87;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.865524;10.1310128;0101000020E6100000FCB6161C14432440C79C67EC4B761B40;village;Baji;OSM;Settlement;
88;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.8725553;10.0417463;0101000020E6100000407562C55F1524404ECEF5227F7D1740;village;Bako;OSM;Settlement;
89;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.0165864;10.1974985;0101000020E6100000A304FD851E652440C63B7606FC101840;village;Balewa;OSM;Settlement;
90;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.7484595;10.2661109;0101000020E6100000DF3719B03F882440A585CB2A6CFE1640;village;Bali Gha;OSM;Settlement;
91;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.9477624;10.4447733;0101000020E61000009B447353B9E324408E83013A82CA1740;village;Bamali;OSM;Settlement;
92;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.89463;10.536789;0101000020E610000081B4FF01D6122540F91400E319941740;village;Bambalang;OSM;Settlement;
93;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.8879189;9.7925472;0101000020E61000009F1221BFC89523404D00B49C3A8D1740;village;Bamben;OSM;Settlement;
94;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.014621;10.2315906;0101000020E61000003E1F0A0B93762440DA56B3CEF80E1840;village;Bambui;OSM;Settlement;
95;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.9721954;10.3630275;0101000020E6100000E71890BDDEB924405C49E13087E31740;village;Bamessing;OSM;Settlement;
96;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.8519782;10.3356349;0101000020E6100000DFCA6D56D8AB2440AA9E27F96C681740;village;Bamukumbit;OSM;Settlement;
97;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.972662;10.462996;0101000020E61000008E5BCCCF0DED2440703FE08101E41740;village;Bamunka;OSM;Settlement;
98;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.9664348;9.8449086;0101000020E6100000E2372ADC97B023407EDD8E15A1DD1740;village;Banatu;OSM;Settlement;
99;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.5114088;11.1558697;0101000020E6100000EADF3F27CE4F2640E28B9BBFAE0B1A40;village;Bang;OSM;Settlement;
100;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.9465253;10.620825;0101000020E610000012143FC6DC3D2540AB58A1ED3DC91740;village;Bangola;OSM;Settlement;
101;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.307763;10.0185663;0101000020E61000008E9DA68581092440E6AC4F39263B1940;village;Bangwi;OSM;Settlement;
102;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.6379022;10.275166;0101000020E610000039F1D58EE28C2440912FFC3B368D1A40;village;Banja;OSM;Settlement;
103;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.3453161;10.5992165;0101000020E61000007A724D81CC3225400A21318B9A611940;village;Banten;OSM;Settlement;
